seed,after_task,host_id,task_id,host_probe_acc,n_items,audit_only,specialization_audit_target_variant,specialization_audit_target_method,specialization_audit_target_policy_family,specialization_audit_model_source,specialization_audit_aligned_to_selected_candidate,specialization_audit_diagnostic_only
3,4,1,3,0.173828125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,1,4,0.810546875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,0,0.697265625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,1,0.60546875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,2,0.494140625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,3,0.541015625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,2,4,0.6015625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,0,0.62109375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,1,0.154296875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,2,0.224609375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,3,0.724609375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,3,4,0.603515625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,0,0.60546875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,1,0.103515625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,2,0.7109375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,3,0.376953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
3,4,4,4,0.7265625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,0,0.66015625,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,1,0.328125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,2,0.701171875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,3,0.48046875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,0,4,0.734375,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,1,0,0.451171875,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,1,1,0.376953125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
4,4,1,2,0.3828125,512,True,context_gap_safe_class_balanced_readout_calibrated,paired_context_gap_safe_class_balanced_readout_calibrated,other,selected_policy_candidate,True,True
