seed,task_id,host,n_batches,mean_route_weight,mean_mutualistic_gain,mean_memory_risk,mean_expected_update_importance,mean_observed_update_allocation,mean_lsa_pearson,mean_lsa_cosine,suspicious_rate
0,2,H1,152,0.017859140665821446,0.009038946280933031,0.01785914068418552,0.01722422186296745,0.017726757618981837,0.5574673617514705,0.7553290571546518,0.039473684210526314
0,2,H5,152,0.0059099945107223715,0.003252812327427143,0.005909994505125767,0.005909878443968011,0.011414021917970689,0.5574673617514705,0.7553290571546518,0.039473684210526314
0,3,H4,152,0.30313172210988243,0.046640958676027036,0.3031317220023786,0.26098153798844054,0.3593353411027424,0.6424596677455661,0.8705563458422365,0.7697368421052632
0,3,H2,152,0.2824722989707401,0.08593081287568478,0.2824722989884972,0.27364255327198306,0.30146165333188957,0.6424596677455661,0.8705563458422365,0.5855263157894737
0,3,H1,152,0.15044057729506963,0.11900541530354805,0.150440577071573,0.19115765117357322,0.10859294535334439,0.6424596677455661,0.8705563458422365,0.27631578947368424
0,3,H3,152,0.24981389998605377,0.10114274661845962,0.24981389988039956,0.25834494350161513,0.2128751800849555,0.6424596677455661,0.8705563458422365,0.2565789473684211
0,3,H5,152,0.014141502070216168,0.007800816729941055,0.014141502057151641,0.015873314064388015,0.01773488012706813,0.6424596677455661,0.8705563458422365,0.013157894736842105
0,4,H3,152,0.27695718946817677,0.10798365664933333,0.2769571884718359,0.27022524911199725,0.22979624604561702,0.44013533962053575,0.7106747101788464,0.7763157894736842
0,4,H2,152,0.4998284088888843,0.42904402877701425,0.499828406719129,0.5462636783880931,0.24637543383733923,0.44013533962053575,0.7106747101788464,0.7039473684210527
0,4,H1,152,0.03315510153525362,0.0027281487953162943,0.03315510144178179,0.02654291270714814,0.28141928604945177,0.44013533962053575,0.7106747101788464,0.6842105263157895
0,4,H4,152,0.1599663360240428,0.007761149119884138,0.1599663357296988,0.12800257530716166,0.20548295684970927,0.44013533962053575,0.7106747101788464,0.28289473684210525
0,4,H5,152,0.030092967772170118,0.012769272641734778,0.03009296763755445,0.028965584485599827,0.036926077217882686,0.44013533962053575,0.7106747101788464,0.17763157894736842
1,0,H1,152,0.017215138386267138,0.011209674645773481,0.0,0.017238780934835152,0.02483927074168027,0.8711237813994734,0.914514492743718,0.0
1,0,H2,152,0.4711641256550425,0.3988690791361331,0.0,0.47219518393198223,0.47028399109677005,0.8711237813994734,0.914514492743718,0.0
1,0,H3,152,0.006215249401784125,0.0026312226549891245,0.0,0.005832145412837498,0.005822726729658682,0.8711237813994734,0.914514492743718,0.0
1,0,H4,152,0.005379633217767389,0.0017901041568292896,0.0,0.004548328066043742,0.007074296620854634,0.8711237813994734,0.914514492743718,0.0
1,0,H5,152,0.5000258514559582,0.4258355997862371,0.0,0.5001855616543014,0.4919797148110363,0.8711237813994734,0.914514492743718,0.0
1,1,H2,152,0.9621206851382005,0.9512870101211737,0.9621206891583389,0.9702029538203734,0.5331381800661795,0.6634945755325471,0.7496546425026771,1.0
1,1,H5,152,0.031105279753989492,0.004518320209809713,0.031105279955395002,0.024642385507470162,0.4256131762037252,0.6634945755325471,0.7496546425026771,0.9868421052631579
1,1,H1,152,0.004323586765263156,0.00018021619482755431,0.004323586780882684,0.0033018941025603956,0.01608031785916335,0.6634945755325471,0.7496546425026771,0.019736842105263157
1,1,H3,152,0.0022391986700420986,-5.537094473128935e-05,0.002239198679611782,0.0016854137085291604,0.024790972128794296,0.6634945755325471,0.7496546425026771,0.006578947368421052
1,1,H4,152,0.00021124542494314818,2.840398029034031e-05,0.00021124542577159258,0.00016735286106683514,0.0003773537421376829,0.6634945755325471,0.7496546425026771,0.006578947368421052
1,2,H1,152,0.6471797545244428,0.6115972553602876,0.647179757159999,0.6852369037800362,0.29577862255968385,0.5426471593007954,0.7243417889388616,0.7039473684210527
1,2,H2,152,0.23640525734395182,0.08827796607437384,0.23640525992239417,0.21300078390595786,0.3828787677425781,0.5426471593007954,0.7243417889388616,0.631578947368421
1,2,H5,152,0.036160952828236316,-0.006566115643755879,0.03616095305742665,0.02737034058119621,0.2344376175586944,0.5426471593007954,0.7243417889388616,0.4605263157894737
1,2,H3,152,0.07117708058917503,0.03769420240622947,0.07117708085456367,0.06594477201645933,0.07865786830008303,0.5426471593007954,0.7243417889388616,0.4276315789473684
1,2,H4,152,0.009076948971931799,0.005024153587120923,0.00907694900561655,0.008447199716350365,0.00824712383896062,0.5426471593007954,0.7243417889388616,0.09868421052631579
1,3,H2,152,0.21012214985431024,-0.001727572708945329,0.21012214990348332,0.16619759755247787,0.24276534630138963,0.27174059093287944,0.6822009381856211,0.6973684210526315
1,3,H4,152,0.46827488227159175,0.4359701673440078,0.468274883353926,0.532194838404736,0.18171073813314945,0.27174059093287944,0.6822009381856211,0.6907894736842105
1,3,H1,152,0.17420388418739954,0.07030278571000918,0.1742038837506551,0.17248151748519822,0.29746337142015095,0.27174059093287944,0.6822009381856211,0.6776315789473685
1,3,H3,152,0.12091965277336146,0.04181628517406563,0.12091965276541466,0.10925011110803247,0.0916359961373571,0.27174059093287944,0.6822009381856211,0.5263157894736842
1,3,H5,152,0.02647943025160777,-0.0034146550781871065,0.026479430226520884,0.019875935449555345,0.18642454800795286,0.27174059093287944,0.6822009381856211,0.5131578947368421
1,4,H3,152,0.2851674604768816,0.20570797926526863,0.2851674617682675,0.30571342618606356,0.13143756800559778,0.1960143764893194,0.6922125974825338,0.8355263157894737
1,4,H1,152,0.43092258490229907,0.32111245574789743,0.43092258746355216,0.45638643496223397,0.23605325783599165,0.1960143764893194,0.6922125974825338,0.8223684210526315
1,4,H4,152,0.1446809805439491,0.027084675233200496,0.1446809807824523,0.12509557010568573,0.3224748472566013,0.1960143764893194,0.6922125974825338,0.5657894736842105
1,4,H5,152,0.098975685890764,0.0007940255265171763,0.09897568569645958,0.08260032137623756,0.1497937908162964,0.1960143764893194,0.6922125974825338,0.506578947368421
1,4,H2,152,0.0402532841176971,-0.010459218976945244,0.04025328428926844,0.030204247369779155,0.1602405360855129,0.1960143764893194,0.6922125974825338,0.4342105263157895
2,0,H3,152,0.3865794784536487,0.3295673921568576,0.0,0.3838754672495676,0.3192964900935918,0.9015659462288351,0.9412043159263606,0.006578947368421052
2,0,H1,152,0.005143463613900454,0.0024878298802602453,0.0,0.0049193360816976285,0.006350845713048604,0.9015659462288351,0.9412043159263606,0.0
2,0,H2,152,0.556580507245503,0.5110862565810431,0.0,0.5633802272435787,0.5859784671227933,0.9015659462288351,0.9412043159263606,0.0
2,0,H4,152,0.037863435805775225,0.023765156942743573,0.0,0.03515414829817894,0.06849215174256862,0.9015659462288351,0.9412043159263606,0.0
2,0,H5,152,0.013833117469115868,0.006901346991885357,0.0,0.012670821126976992,0.019882045327997633,0.9015659462288351,0.9412043159263606,0.0
2,1,H2,152,0.976027644386417,0.9736906530055439,0.976027645740196,0.9795361730171607,0.7634867826360857,0.9361332472897634,0.9461515562066471,1.0
2,1,H3,152,0.020897560487930223,0.0074365841337661245,0.02089756047957282,0.017634713972581307,0.22297128308886147,0.9361332472897634,0.9461515562066471,1.0
2,1,H1,152,7.720313401717392e-05,4.889602958341789e-05,7.720313360832454e-05,7.0852632006863e-05,0.0002159426489188204,0.9361332472897634,0.9461515562066471,0.0
2,1,H4,152,0.0022726829807460922,0.001674204092815769,0.0022726829603556967,0.002151860952783593,0.003856110115332762,0.9361332472897634,0.9461515562066471,0.0
