method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
paired_context_gap_selected,0,mmals_rc2b_candidate,0.9145,0.8575,0.0,1.0,1.0,91.70830993652343,1.0,7.927585601806641,1.9634983539581299,1.184999942779541,1.1375000476837158,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.92625,0.90125,0.030624999999999986,0.8833333333333333,0.8975,0.9475,0.8775,0.825,0.89,0.925,0.8775,0.825,0.10450000000000001,deployable_mmals_paired
paired_context_gap_selected,1,mmals_rc2b_candidate,0.9109999999999999,0.83125,2.0645100377871474e-37,1.0,1.0,95.35695877075196,1.0,7.232884407043457,1.8654704093933105,1.2174999713897705,1.1299999952316284,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9225,0.89,0.02562500000000001,0.9058333333333333,0.8683333333333333,0.9475,0.9325,0.8375,0.825,0.9,0.88,0.825,0.10124999999999999,deployable_mmals_paired
paired_context_gap_selected,2,mmals_rc2b_candidate,0.9037499999999999,0.84875,1.150830905047177e-23,1.0,1.0,53.11226139068604,1.0,8.898531913757324,1.4770703315734863,1.1950000524520874,1.2350000143051147,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.901875,0.8525,0.03437499999999999,0.9016666666666667,0.8483333333333333,0.945,0.9025,0.8575,0.84,0.88,0.825,0.825,0.10149999999999999,deployable_mmals_paired
paired_context_gap_selected,3,mmals_rc2b_candidate,0.91975,0.85,0.0,1.0,1.0,84.47188568115234,1.0,5.758021831512451,2.417175769805908,1.190000057220459,1.125,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9356249999999999,0.9075,0.013750000000000012,0.9241666666666667,0.8858333333333333,0.94,0.975,0.8575,0.8425,0.91,0.905,0.8425,0.10374999999999998,deployable_mmals_paired
paired_context_gap_selected,4,mmals_rc2b_candidate,0.8995000000000001,0.8475,0.3318279206752777,0.8330718398094177,1.0,70.11048202514648,0.6999999284744263,3.508410692214966,1.9401702880859375,1.2324999570846558,1.3450000286102295,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.895625,0.8475,0.04468749999999999,0.8975,0.8508333333333334,0.9175,0.9275,0.8475,0.8575,0.87,0.825,0.825,0.10049999999999999,deployable_mmals_paired
paired_context_temp_blend_selected_global,0,mmals_rc2b_candidate,0.9155000000000001,0.8625,0.0,1.0,1.0,91.70830993652343,1.0,7.691198348999023,1.8095768690109253,1.225000023841858,1.1200000047683716,527118,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.925,0.90375,0.024999999999999967,0.9,0.8958333333333334,0.9725,0.8825,0.845,0.88,0.9175,0.89,0.845,0.10374999999999998,deployable_mmals_paired
paired_context_temp_blend_selected_global,1,mmals_rc2b_candidate,0.91375,0.835,2.0645100377871474e-37,1.0,1.0,95.35695877075196,1.0,6.883947372436523,1.971408724784851,1.25,1.0850000381469727,527118,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.923125,0.89375,0.02687500000000001,0.9075000000000001,0.875,0.955,0.935,0.8325,0.8375,0.8675,0.92,0.8325,0.09425,deployable_mmals_paired
paired_context_temp_blend_selected_global,2,mmals_rc2b_candidate,0.861,0.66125,1.150830905047177e-23,1.0,1.0,53.11226139068604,1.0,8.15188980102539,1.194278597831726,1.2400000095367432,1.6699999570846558,527118,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.80125,0.66125,0.08687499999999998,0.8941666666666667,0.7133333333333333,0.9625,0.87,0.85,0.8175,0.7275,0.595,0.595,0.08725000000000001,deployable_mmals_paired
paired_context_temp_blend_selected_global,3,mmals_rc2b_candidate,0.9129999999999999,0.83,0.0,1.0,1.0,84.47188568115234,1.0,5.094122409820557,2.713467597961426,1.3025000095367432,1.1050000190734863,527118,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9375,0.91125,0.010937500000000017,0.9233333333333333,0.8766666666666666,0.935,0.9825,0.8525,0.8075,0.9025,0.92,0.8075,0.10274999999999998,deployable_mmals_paired
paired_context_temp_blend_selected_global,4,mmals_rc2b_candidate,0.8955,0.78125,3.724993235000659e-40,1.0,1.0,73.05201530456543,1.0,2.875638484954834,1.9644484519958496,1.2274999618530273,1.7625000476837158,527118,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8631249999999999,0.78125,0.04843750000000002,0.9191666666666668,0.8158333333333333,0.9375,0.9575,0.8625,0.885,0.78,0.7825,0.78,0.08775,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,0,mmals_rc2b_candidate,0.9145,0.8575,0.0,1.0,1.0,91.70830993652343,1.0,7.927585601806641,1.9634983539581299,1.184999942779541,1.1375000476837158,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.92625,0.90125,0.030624999999999986,0.8833333333333333,0.8975,0.9475,0.8775,0.825,0.89,0.925,0.8775,0.825,0.10450000000000001,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,1,mmals_rc2b_candidate,0.9109999999999999,0.83125,2.0645100377871474e-37,1.0,1.0,95.35695877075196,1.0,7.232884407043457,1.8654704093933105,1.2174999713897705,1.1299999952316284,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9225,0.89,0.02562500000000001,0.9058333333333333,0.8683333333333333,0.9475,0.9325,0.8375,0.825,0.9,0.88,0.825,0.10124999999999999,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,2,mmals_rc2b_candidate,0.9037499999999999,0.84875,1.150830905047177e-23,1.0,1.0,53.11226139068604,1.0,8.898531913757324,1.4770703315734863,1.1950000524520874,1.2350000143051147,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.901875,0.8525,0.03437499999999999,0.9016666666666667,0.8483333333333333,0.945,0.9025,0.8575,0.84,0.88,0.825,0.825,0.10149999999999999,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,3,mmals_rc2b_candidate,0.91975,0.85,0.0,1.0,1.0,84.47188568115234,1.0,5.758021831512451,2.417175769805908,1.190000057220459,1.125,650,527118,526468.0,650.0,650.0,2.0107955932617188,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.9356249999999999,0.9075,0.013750000000000012,0.9241666666666667,0.8858333333333333,0.94,0.975,0.8575,0.8425,0.91,0.905,0.8425,0.10374999999999998,deployable_mmals_paired
